"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q2";"SOT-23";1;"AO3413";;;
2;"U7";"SOT-23-5_TI_DBV5";1;"NCP380HSN05";;;
3;"D2";"D_SMA";1;"5V6/3W";;;
4;"C5";"C_0805_2012Metric";1;"4u7";;;
5;"D3";"LED_0805_2012Metric";1;"RED";;;
6;"U6";"SOT-23-5_TI_DBV5";1;"NCP360SNT";;;
7;"C7";"C_0805_2012Metric";1;"10u";;;
8;"C6,C3,C4,C1";"C_0805_2012Metric";4;"1u";;;
9;"U1";"SOT-23-6_TI_DBV6";1;"BQ21040";;;
10;"J1";"AMPHENOL_10118194-0001LF";1;"USB";;;
11;"R1";"R_0805_2012Metric";1;"1k8";;;
12;"R8";"R_0805_2012Metric";1;"11k";;;
13;"R13,R3";"R_0805_2012Metric";2;"10k";;;
14;"U5";"SOT-23-3";1;"APX809S-31SA";;;
15;"JP1";"R_0603_1608Metric";1;"NOREG";;;
16;"Q1";"SOT-23";1;"2N7002";;;
17;"JP2";"R_0603_1608Metric";1;"NOLIM";;;
18;"U3";"SOT-23-5_TI_DBV5";1;"MAX40203AUK";;;
19;"U4";"SOT-23-3";1;"APX810-44SA";;;
20;"R2";"R_0805_2012Metric";1;"3k";;;
21;"R5";"R_0805_2012Metric";1;"95.3k";;;
22;"BT1";"JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical_13PADS";1;"Batt";;;
23;"R4";"R_0805_2012Metric";1;"560k";;;
24;"U2";"SOT-23-5_TI_DBV5";1;"TLV75801";;;
25;"R9";"R_0805_2012Metric";1;"33k";;;
26;"D1";"D_SOD-123";1;"PMEG40T10ERX";;;
27;"J3";"PAD_8x15";1;"PAD-";;;
28;"J2";"PAD_8x15";1;"PAD+";;;
