capacity,voltage
0,2.99
0.218172946,3.064357555
0.58180932,3.122234719
0.945445694,3.180111763
1.55,3.239553149
2.181818242,3.298994416
2.763627562,3.349050351
3.636363737,3.403798952
4.581809431,3.45541899
5.81818198,3.502346363
6.981811717,3.536759841
9.090909343,3.575865984
11.49090053,3.607150839
14.03635515,3.630614526
16.72727319,3.654078212
20.94544625,3.680670401
26.03635548,3.704134087
31.34544876,3.721340826
36.79999436,3.735419002
43.70908546,3.75106146
50.25454574,3.771396642
55.63635963,3.791731885
61.30908928,3.818324015
66.54545084,3.846480486
71.34545542,3.876201119
75.63636019,3.912178759
79.99999667,3.943463674
83.70909212,3.974748589
87.34545586,4.010726289
90.76363555,4.042011204
94.76363566,4.084245761
96.36363626,4.103016782
97.30909028,4.115530676
98.03636303,4.123351905
98.90909088,4.138994362
99.63636363,4.157765383
99.9,4.19
100,4.2
