current,efficiency
0.10055,53.076
0.11061,54.012
0.11784,55.071
0.12846,56.382
0.1404,57.499
0.15062,58.769
0.16436,59.959
0.18107,61.11
0.19291,62.362
0.21029,63.536
0.23167,64.743
0.24681,65.801
0.26731,67.02
0.29019,68.306
0.31709,69.572
0.35108,70.781
0.38615,72.275
0.4227,73.737
0.46568,74.928
0.49613,76.05
0.54082,77.208
0.6062,77.806
0.67662,78.41
0.75403,79.079
0.84322,79.94
0.94513,80.492
1.0506,81.291
1.1847,81.859
1.3263,82.306
1.4849,82.712
1.6624,82.956
1.8612,83.362
2.0837,83.708
2.3329,83.992
2.6118,84.196
2.9523,84.467
3.2738,84.744
3.6652,84.988
4.1034,85.09
4.5941,85.374
5.1434,85.435
5.7584,85.435
6.4469,85.435
7.1489,85.51
8.0808,85.862
9.047,85.883
10.129,85.964
11.34,86.025
12.696,86.106
14.214,86.289
15.913,86.33
17.816,86.33
19.946,86.37
22.331,86.553
25.001,86.553
27.99,86.777
31.337,86.777
35.084,86.797
39.279,87
43.976,87
49.234,87.122
55.121,87.224
61.711,87.224
69.185,87.239
77.351,87.651
87.195,87.656
97.585,87.659
108.55,87.752
121.53,87.63
136.06,87.264
152.32,87.076
170.54,86.777
191.71,86.426
210.38,85.557
226.56,84.523
237.2,83.062
257.15,81.663
279.16,80.182
300.17,78.695
316.31,77.518
342.8,76.298
372.15,74.733
397.61,73.717
